PlayerName,CourseName,LayoutName,StartDate,EndDate,Total,+/-,RoundRating,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-17 0612,2025-11-17 2155,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-17 0612,2025-11-17 2155,51,-5,170,3,2,2,2,3,2,3,3,2,2,3,3,3,3,3,5,4,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-17 0612,2025-11-17 2155,59,3,129,2,3,3,3,3,2,3,2,3,4,6,3,4,3,3,4,3,5,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-14 2107,2025-11-14 2217,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-14 2107,2025-11-14 2217,47,-9,191,3,2,2,2,3,2,3,3,2,3,2,2,3,3,3,3,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-14 2107,2025-11-14 2217,51,-5,168,3,2,3,2,3,4,4,3,2,2,2,3,3,3,2,4,3,3,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-11-07 2109,2025-11-07 2249,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-11-07 2109,2025-11-07 2249,66,4,168,3,3,5,2,4,3,3,3,3,5,5,3,4,5,3,4,3,5,,,,,,,,,
Youare22,Eddison Park,2019 Blue Tees,2025-11-07 2109,2025-11-07 2249,78,16,112,4,3,5,3,5,4,3,3,4,6,7,4,4,6,3,6,3,5,,,,,,,,,
Par,Weston Park Disc Golf Course,White Tees ,2025-11-03 0601,2025-11-03 0703,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-11-03 0601,2025-11-03 0703,60,1,171,3,3,3,3,6,3,3,4,4,3,3,2,3,3,3,3,3,5,,,,,,,,,
Jobby,Weston Park Disc Golf Course,White Tees ,2025-11-03 0601,2025-11-03 0703,65,6,145,3,3,3,3,5,3,3,3,6,3,4,4,4,4,4,3,3,4,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-02 0616,2025-11-02 0723,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-02 0616,2025-11-02 0723,49,-7,179,2,3,3,2,2,2,4,2,3,3,3,2,4,4,2,3,3,2,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-02 0616,2025-11-02 0723,53,-3,157,2,3,3,2,2,3,4,3,3,3,4,3,3,4,3,3,3,2,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-01 2149,2025-11-01 2340,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-11-01 2149,2025-11-01 2340,52,-4,162,2,2,2,3,4,4,3,2,3,3,2,2,3,3,3,6,3,2,,,,,,,,,
Par,Athllon Park,2024 Blue Tees,2025-10-18 2055,2025-10-18 2301,59,,,3,3,3,4,3,3,3,3,3,4,4,3,3,3,4,3,3,4,,,,,,,,,
ArmyGeddon,Athllon Park,2024 Blue Tees,2025-10-18 2055,2025-10-18 2301,67,8,177,3,4,4,4,5,4,4,4,3,4,5,3,3,3,4,3,3,4,,,,,,,,,
Jobby,Athllon Park,2024 Blue Tees,2025-10-18 2055,2025-10-18 2301,78,19,124,5,4,3,4,4,3,5,4,5,4,5,5,4,4,5,4,5,5,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-10-17 2105,2025-10-17 2345,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-10-17 2105,2025-10-17 2345,67,5,166,2,3,4,3,4,3,3,5,2,4,4,4,5,5,3,5,4,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-10-17 2105,2025-10-17 2345,67,5,166,4,3,4,3,3,3,4,4,2,5,6,3,4,5,2,4,3,5,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-10-16 0650,2025-10-16 0752,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-10-16 0650,2025-10-16 0752,49,-6,190,2,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,2,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-10-16 0650,2025-10-16 0752,53,-2,168,3,3,2,3,4,2,3,3,3,3,3,2,3,4,3,3,3,3,,,,,,,,,
Par,Weston Park Disc Golf Course,Championship Layout,2025-10-13 0605,2025-10-13 0822,94,,,3,3,4,4,3,4,3,4,5,4,3,3,3,4,4,3,4,4,3,4,3,3,3,3,3,3,4
ArmyGeddon,Weston Park Disc Golf Course,Championship Layout,2025-10-13 0605,2025-10-13 0822,89,17,143,3,4,6,6,4,5,3,6,8,5,4,3,4,5,4,3,4,6,3,3,0,0,0,0,0,0,0
Jobby,Weston Park Disc Golf Course,Championship Layout,2025-10-13 0605,2025-10-13 0822,90,18,138,4,3,6,6,3,4,5,5,7,4,4,4,4,5,5,3,5,6,3,4,0,0,0,0,0,0,0
Par,Eddison Park,2019 Blue Tees,2025-10-11 2245,2025-10-12 0024,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-10-11 2245,2025-10-12 0024,67,5,167,4,4,4,3,2,3,3,3,3,5,6,3,6,4,3,4,3,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-10-11 2245,2025-10-12 0024,65,3,178,3,2,4,2,3,3,3,3,3,4,6,3,5,4,4,5,3,5,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-10-10 2111,2025-10-10 2255,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-10-10 2111,2025-10-10 2255,64,2,183,2,3,3,3,3,3,4,3,3,4,5,3,3,4,4,5,4,5,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-10-10 2111,2025-10-10 2255,72,10,142,2,3,5,3,3,4,3,3,4,5,6,3,5,5,4,5,4,5,,,,,,,,,
Youare22,Eddison Park,2019 Blue Tees,2025-10-10 2111,2025-10-10 2255,76,14,124,4,4,5,4,4,4,3,3,3,5,6,4,5,5,3,5,3,6,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-10-09 0620,2025-10-09 0720,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-10-09 0620,2025-10-09 0720,55,0,157,4,2,3,3,3,2,3,3,3,4,3,3,3,4,2,4,3,3,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-10-09 0620,2025-10-09 0720,57,2,147,3,3,3,3,4,3,3,4,3,3,2,3,3,4,4,3,3,3,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-10-06 0419,2025-10-06 0522,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-10-06 0419,2025-10-06 0522,55,-1,147,3,3,3,3,3,4,3,2,3,3,3,3,3,4,3,4,3,2,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-10-06 0419,2025-10-06 0522,59,3,128,3,3,3,4,2,3,3,3,3,5,3,4,2,4,4,4,3,3,,,,,,,,,
Par,Weston Park Disc Golf Course,White Tees ,2025-10-04 2213,2025-10-04 2353,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-10-04 2213,2025-10-04 2353,63,4,153,4,3,3,2,6,4,3,3,4,2,4,4,4,4,3,3,3,4,,,,,,,,,
Jobby,Weston Park Disc Golf Course,White Tees ,2025-10-04 2213,2025-10-04 2353,61,2,163,3,3,3,3,4,2,4,6,6,3,4,2,2,4,3,2,3,4,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-10-03 2213,2025-10-04 0005,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-10-03 2213,2025-10-04 0005,61,-1,201,3,3,4,3,3,4,2,3,2,4,7,3,4,4,3,3,2,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-10-03 2213,2025-10-04 0005,70,8,152,3,3,4,4,3,3,2,4,4,5,6,3,5,4,4,4,4,5,,,,,,,,,
Youare22,Eddison Park,2019 Blue Tees,2025-10-03 2213,2025-10-04 0005,79,17,112,3,3,4,5,6,3,4,4,4,6,5,3,6,5,5,5,4,4,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-30 2012,2025-09-30 2104,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-30 2012,2025-09-30 2104,52,-3,173,3,3,2,3,3,2,3,3,2,3,3,3,4,4,3,3,2,3,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-30 2012,2025-09-30 2104,49,-6,191,3,3,3,2,3,2,3,3,3,2,2,3,3,4,2,2,3,3,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-30 0709,2025-09-30 0844,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-30 0709,2025-09-30 0844,54,-1,162,4,2,3,4,3,2,2,3,3,5,3,3,3,4,2,3,3,2,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-30 0709,2025-09-30 0844,56,1,152,2,4,2,3,4,3,3,3,3,5,3,2,4,4,3,3,2,3,,,,,,,,,
Par,Weston Park Disc Golf Course,White Tees ,2025-09-27 2242,2025-09-28 0024,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-09-27 2242,2025-09-28 0024,58,-1,181,3,3,3,3,5,3,3,5,3,2,3,3,2,3,4,3,3,4,,,,,,,,,
Jobby,Weston Park Disc Golf Course,White Tees ,2025-09-27 2242,2025-09-28 0024,63,4,155,2,4,3,3,6,4,4,3,4,3,3,3,4,3,3,4,2,5,,,,,,,,,
Youare22,Weston Park Disc Golf Course,White Tees ,2025-09-27 2242,2025-09-28 0024,78,19,91,4,4,3,3,6,4,3,5,5,4,5,4,4,5,4,3,5,7,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-27 0119,2025-09-27 0224,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-27 0119,2025-09-27 0224,58,2,132,2,5,4,3,2,3,3,3,3,4,3,3,3,3,3,4,3,4,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-27 0119,2025-09-27 0224,54,-2,151,3,3,3,2,2,4,4,2,3,3,3,3,2,4,3,4,3,3,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-21 2004,2025-09-21 2107,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-21 2004,2025-09-21 2107,56,1,152,2,3,3,3,3,4,3,3,3,4,4,3,3,4,3,3,3,2,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-21 2004,2025-09-21 2107,54,-1,162,3,3,3,3,4,3,3,2,4,3,3,3,3,3,3,3,3,2,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-09-19 2211,2025-09-20 0406,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-09-19 2211,2025-09-20 0406,73,11,137,2,3,4,3,3,4,3,5,5,8,6,3,4,4,3,5,3,5,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-09-19 2211,2025-09-20 0406,70,8,151,3,3,3,5,3,3,3,3,3,4,6,4,6,4,2,5,4,6,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-15 2012,2025-09-15 2133,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-15 2012,2025-09-15 2133,54,-1,162,3,3,3,3,3,2,3,2,2,3,3,4,4,4,3,3,3,3,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-15 2012,2025-09-15 2133,52,-3,173,3,2,3,3,3,3,3,2,3,3,3,3,3,4,2,3,3,3,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-13 2131,2025-09-13 2231,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-13 2131,2025-09-13 2231,51,-5,169,2,2,2,2,3,3,4,2,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-13 2131,2025-09-13 2231,55,-1,148,3,4,2,2,3,3,3,3,2,3,3,3,3,4,3,4,3,4,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-12 2120,2025-09-12 2210,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-12 2120,2025-09-12 2210,51,-5,169,2,2,3,2,2,3,4,2,3,4,3,3,2,3,3,4,4,2,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-12 2120,2025-09-12 2210,53,-3,159,3,2,3,3,2,3,4,3,3,3,3,3,3,3,3,5,2,2,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-08 2005,2025-09-08 2126,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-08 2005,2025-09-08 2126,53,-2,167,3,3,3,2,3,3,3,2,3,3,4,3,3,4,3,3,3,2,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-09-08 2005,2025-09-08 2126,56,1,151,3,3,4,3,3,2,3,3,3,3,3,3,4,5,3,3,3,2,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-05 2114,2025-09-05 2222,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-05 2114,2025-09-05 2222,50,-6,175,3,3,3,2,2,2,4,2,3,3,2,3,3,3,3,3,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-09-05 2114,2025-09-05 2222,56,0,143,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,,,,,,,,,
Par,Weston Park Disc Golf Course,White Tees ,2025-08-30 2246,2025-08-31 0005,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-08-30 2246,2025-08-31 0005,59,0,178,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
Jobby,Weston Park Disc Golf Course,White Tees ,2025-08-30 2246,2025-08-31 0005,62,3,162,3,3,3,4,4,3,3,4,3,5,4,3,3,3,3,3,3,5,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-08-23 2238,2025-08-24 0002,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-08-23 2238,2025-08-24 0002,69,7,155,3,2,5,3,4,3,3,4,2,5,6,3,6,5,3,5,3,4,,,,,,,,,
Jobby,Eddison Park,2019 Blue Tees,2025-08-23 2238,2025-08-24 0002,70,8,150,3,4,5,3,4,3,3,3,3,4,6,3,5,6,3,4,3,5,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-22 2111,2025-08-22 2223,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-22 2111,2025-08-22 2223,47,-9,189,3,2,3,2,2,2,4,2,2,3,2,2,3,4,2,4,3,2,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-22 2111,2025-08-22 2223,56,0,140,3,2,2,3,3,3,4,3,3,2,4,3,3,3,4,4,4,3,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-15 2110,2025-08-15 2216,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-15 2110,2025-08-15 2216,54,-2,150,2,3,3,4,3,3,4,2,2,3,3,3,3,3,3,4,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-15 2110,2025-08-15 2216,55,-1,145,3,3,3,3,3,3,4,3,3,2,3,3,4,3,3,3,3,3,,,,,,,,,
Par,Weston Park Disc Golf Course,White Tees ,2025-08-10 0459,2025-08-10 0702,59,,,3,3,3,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,,,,,,,,,
ArmyGeddon,Weston Park Disc Golf Course,White Tees ,2025-08-10 0459,2025-08-10 0702,61,2,164,3,3,3,2,4,2,3,4,5,4,4,3,3,3,3,3,3,6,,,,,,,,,
Jobby,Weston Park Disc Golf Course,White Tees ,2025-08-10 0459,2025-08-10 0702,62,3,159,3,3,2,3,6,3,3,5,3,2,4,4,4,4,4,2,3,4,,,,,,,,,
Youare22,Weston Park Disc Golf Course,White Tees ,2025-08-10 0459,2025-08-10 0702,74,15,105,4,4,5,4,6,4,4,5,5,4,4,3,4,4,3,3,4,4,,,,,,,,,
Disease,Weston Park Disc Golf Course,White Tees ,2025-08-10 0459,2025-08-10 0702,65,6,144,3,4,3,3,5,3,3,4,6,3,5,2,3,4,3,4,3,4,,,,,,,,,
Par,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-08 2115,2025-08-08 2220,56,,,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,
ArmyGeddon,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-08 2115,2025-08-08 2220,52,-4,163,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,5,3,3,,,,,,,,,
Jobby,John Knight Memorial Park,Public Layout (B-Pin Position),2025-08-08 2115,2025-08-08 2220,57,1,137,3,3,3,2,2,2,4,3,4,2,3,4,5,3,3,5,3,3,,,,,,,,,
Par,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-08-03 0604,2025-08-03 0709,55,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,
ArmyGeddon,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-08-03 0604,2025-08-03 0709,51,-4,180,3,2,3,2,3,2,3,1,2,3,3,3,5,5,3,3,3,2,,,,,,,,,
Jobby,Gold Creek School Disc Golf Course,Gold Creek School Disc Golf Course,2025-08-03 0604,2025-08-03 0709,54,-1,163,3,3,3,3,3,2,2,2,2,3,3,2,4,6,4,3,3,3,,,,,,,,,
Par,Eddison Park,2019 Blue Tees,2025-07-18 2210,2025-07-19 0010,62,,,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,4,3,4,,,,,,,,,
ArmyGeddon,Eddison Park,2019 Blue Tees,2025-07-18 2210,2025-07-19 0010,67,5,163,3,3,4,3,4,3,3,4,3,4,6,3,4,4,4,4,4,4,,,,,,,,,
